,0
464,6.3728
465,8.3927
466,8.4065
467,7.2814
468,5.8165
469,7.9904
470,7.6352
471,6.7195
472,7.605
473,7.2972
474,8.0101
475,9.4179
476,7.2729
477,5.9462
478,7.592
479,8.1945
480,5.6296
481,8.7149
482,5.8606
483,5.7974
484,7.284
485,7.0409
486,5.8322
487,7.5716
488,7.16
489,5.7723
490,7.3718
491,6.4081
492,10.0295
493,7.2811
494,7.6024
495,8.23
496,8.8945
497,5.9107
498,6.6353
499,5.5708
500,6.5634
501,7.7155
502,7.5859
503,7.7392
504,6.5296
505,6.5923
506,8.3447
507,7.7239
508,7.8498
509,5.845
510,7.3416
511,7.8531
512,7.5818
513,8.8671
514,8.7922
515,7.3772
516,7.3783
517,6.9402
518,8.6983
519,8.0575
520,6.4254
521,6.2402
522,5.0
523,7.2102
524,8.6498
525,5.5659
526,6.3387
527,6.0202
528,5.0
529,8.081
530,6.085
531,5.6229
532,7.8961
533,7.0005
534,7.0948
535,6.3616
536,7.8301
537,7.4444
538,6.6408
539,7.5508
540,6.3571
541,5.6275
542,8.094
543,8.6828
544,7.2743
545,7.735
546,5.3305
547,7.6183
548,7.3675
549,6.4793
550,8.6832
551,8.1071
552,7.9122
553,7.3203
554,7.0122
555,7.794
556,7.6803
557,8.2267
558,7.6303
559,8.007
560,6.8484
561,7.3794
562,5.8307
563,9.0372
564,7.903
565,8.1135
566,7.4197
567,9.52
568,9.1463
569,8.4219
570,5.355
571,7.7464
572,7.8965
573,7.12
574,7.5845
575,5.532
576,6.5458
577,6.8295
578,5.0525
579,8.0239
580,5.576
581,5.1197
582,7.3415
583,5.4758
584,7.2311
585,5.5915
586,8.263
587,7.1763
588,5.0
589,8.256
590,7.749
591,8.0694
592,7.9534
593,7.2895
594,8.4151
595,7.8952
596,7.9477
597,9.1275
598,7.1491
599,8.5678
600,9.3615
601,5.7883
602,5.1838
603,5.4622
604,7.5523
605,5.9383
606,6.1478
607,7.5705
608,7.2795
609,5.3471
610,8.4849
611,8.9957
612,8.9414
613,6.0163
614,8.4934
615,6.5414
616,5.8377
617,6.5855
618,8.0132
619,7.2794
620,8.9398
621,8.4279
622,6.0102
623,8.1952
624,9.4214
625,5.0
626,6.9285
627,5.5522
628,7.8795
629,5.7754
630,7.6611
631,5.0
632,5.6846
633,7.4447
634,5.976
635,7.2655
636,7.0296
637,6.1729
638,7.7101
639,7.7138
640,8.2738
641,6.1607
642,6.8775
643,7.5614
644,5.9549
645,8.5751
646,5.5879
647,9.1931
648,6.4241
649,6.256
650,7.5533
651,5.4956
652,9.5045
653,6.1376
654,8.4829
655,7.2652
656,8.7507
657,7.2726
658,6.7459
659,7.6983
660,7.9033
661,5.0
662,6.208
663,8.0677
664,7.2039
665,6.41
666,8.1205
667,7.1455
668,8.1023
669,6.8672
670,7.8636
671,5.2969
672,7.6513
673,5.0
674,7.2552
675,8.2327
676,7.5355
677,8.3524
678,7.9866
679,7.6298
680,7.4938
681,7.342
682,7.9381
683,8.4558
684,6.3019
685,7.4257
686,6.3937
687,6.4798
688,7.1933
689,7.3161
690,7.1595
691,7.3071
692,7.1711
693,5.9086
694,7.3227
695,8.5079
696,8.539
697,9.4467
698,6.6936
699,7.3029
700,6.8724
701,7.5996
702,6.5025
703,8.1558
704,6.8059
705,7.3074
706,6.4921
707,6.3714
708,6.9314
709,8.0392
710,7.5854
711,7.7176
712,7.3666
713,8.016
714,7.6571
715,5.0
716,7.0453
717,7.4261
718,7.5118
719,7.5821
720,5.8286
721,7.8997
722,7.8224
723,8.0156
724,7.5688
725,7.5019
726,6.9278
727,6.7911
728,8.6558
729,5.206
730,7.7431
731,8.6033
732,6.371
733,7.7763
734,8.3856
735,8.4538
736,8.2609
737,7.9218
738,8.5567
739,5.0
740,5.4751
741,7.0454
742,7.8355
743,5.8507
744,9.3947
745,6.4347
746,7.6194
747,7.1642
748,5.6132
749,6.1129
750,8.4609
751,8.3106
752,9.1305
753,9.1707
754,8.302
755,5.8319
756,8.1633
757,7.6278
758,6.845
759,8.406
760,8.1258
761,5.0119
762,9.0227
763,7.9398
764,5.9358
765,8.6356
766,5.2391
767,9.5003
768,8.0657
769,8.2406
770,7.0991
771,7.7148
772,6.9063
773,9.3206
774,6.0906
775,8.1608
776,5.4562
777,5.0
778,5.6106
779,5.0891
780,5.0
781,8.0028
782,7.8992
783,7.2611
784,5.5944
785,6.0144
786,7.5771
787,7.982
788,6.9321
789,5.6246
790,8.117
791,8.8451
792,5.8399
793,8.2064
794,7.7181
795,5.8882
796,5.8715
797,5.5736
798,6.5153
799,7.8021
800,8.1135
801,6.2451
802,7.8358
803,6.5295
804,8.8787
805,6.9197
806,5.9444
807,6.5019
808,7.4484
809,5.2095
810,6.0827
811,7.1
812,6.7157
813,5.5737
814,7.1485
815,6.5197
816,5.3099
817,6.5672
818,8.1846
819,5.2377
820,7.8174
821,5.0252
822,6.9424
823,5.0
824,5.6672
825,7.6693
826,9.3202
827,6.512
828,8.2837
829,6.1573
830,5.7294
831,7.548
832,6.3622
833,7.5274
834,6.1704
835,5.84
836,5.4288
837,6.4303
838,5.7461
839,7.3066
840,7.0639
841,6.1004
842,6.8267
843,5.0
844,7.3094
845,6.1145
846,6.8488
847,6.4741
848,5.0
849,5.6301
850,6.9048
851,6.8835
852,7.1892
853,6.7685
854,6.0247
855,6.0505
856,6.4005
857,6.4334
858,5.0
859,5.0
860,6.9828
861,5.9756
862,5.363
863,6.9551
864,7.5415
865,5.7981
866,5.0
867,5.0
868,6.0152
869,6.068
870,6.4013
871,5.0
872,6.7036
873,6.1873
874,9.0797
875,6.3639
876,6.8424
877,6.8654
878,7.3665
879,6.4345
880,7.8425
881,5.8302
882,6.5879
883,6.3052
884,6.2261
885,7.0013
886,5.7476
887,8.7528
888,5.7873
889,5.8374
890,6.3592
891,6.6157
892,8.2218
893,6.4844
894,6.6826
895,6.3345
896,5.0
897,7.5712
898,5.543
899,6.0636
900,6.4823
901,5.7174
902,6.8815
903,5.0
904,8.5751
905,7.4792
906,6.855
907,6.2584
908,6.5393
909,7.6008
910,7.5013
911,5.9886
912,8.5064
913,6.0687
914,5.7313
915,6.8338
916,8.5093
917,5.5251
918,6.3043
919,7.0383
920,6.1048
921,7.6013
922,7.2615
923,5.0
924,5.1073
925,6.1185
926,6.1058
927,6.9058
928,8.169
929,5.0
930,6.5655
931,6.1102
932,7.4445
933,8.5597
934,6.172
935,6.4746
936,5.5986
937,6.4874
938,6.4373
939,5.5013
940,6.3935
941,5.7021
942,5.7379
943,5.5046
944,5.8786
945,5.0
946,6.4747
947,5.9052
948,5.966
949,6.1397
950,5.0794
951,8.0893
952,5.213
953,5.8452
954,5.7175
955,5.3324
956,6.2715
957,8.3375
958,6.1033
959,6.0342
960,6.5848
961,6.1597
962,8.1223
963,5.5719
964,5.8721
965,5.3414
966,5.8166
967,5.9821
968,5.5045
969,5.5593
970,5.3207
971,5.0
972,5.0
973,5.3679
974,6.7025
